mgi_homology_class	mouse_gene_symbol	mouse_entrez_id	mouse_mgi_id	human_gene_symbol	human_entrez_id	human_hgnc_id	human_omim_id
51820315	2310030G06Rik	66952	MGI:1914202	C11orf52	91894	HGNC:30531	
51821500	2310033P09Rik	67862	MGI:1915112	C1orf35	79169	HGNC:19032	
51813901	2310057J18Rik	67719	MGI:1914969	C6orf58	352999	HGNC:20960	OMIM:621149
51811136	2310057M21Rik	68277	MGI:1915527	C10orf88	80007	HGNC:25822	OMIM:620661
51811383	2310061I04Rik	69662	MGI:1916912	C6orf136	221545	HGNC:21301	
51822962	2410002F23Rik	668661	MGI:1914226	C19orf48P	84798	HGNC:29667	OMIM:618864
51820901	2410004B18Rik	66421	MGI:1913671	C1orf52	148423	HGNC:24871	
51822029	2510002D24Rik	72307	MGI:1919557	C22orf39	128977	HGNC:27012	
51807606	2510009E07Rik	72190	MGI:1919440	C3orf70	285382	HGNC:33731	
51822031	2510039O18Rik	77034	MGI:1924284	KIAA2013	90231	HGNC:28513	
51821670	2610028H24Rik	76964	MGI:1924214	C21orf58	54058	HGNC:1300	
51824551	2610035D17Rik	72386	MGI:1919636	LINC00673	100499467	HGNC:44354	OMIM:617079
51822510	2610528J11Rik	66451	MGI:1913701	C1orf210	149466	HGNC:28755	OMIM:620582
51813822	2700049A03Rik	76967	MGI:1924217	KIAA0586	9786	HGNC:19960	OMIM:610178
51822997	2810459M11Rik	72792	MGI:1920042	C2orf72	257407	HGNC:27418	
51813526	2900026A02Rik	243219	MGI:1920194	KIAA1671	85379	HGNC:29345	
51822959	2900092C05Rik	73090	MGI:1920340	C19orf18	147685	HGNC:28642	
51821606	3110009E18Rik	73103	MGI:1920353	C2orf76	130355	HGNC:27017	
51816394	3110040N11Rik	67290	MGI:1914540	C15orf40	123207	HGNC:28443	
51810968	3425401B19Rik	100504518	MGI:3588196	C10orf71	118461	HGNC:26973	OMIM:621202
51817867	3830403N18Rik	70691	MGI:1917941	SYCP3	50511	HGNC:18130	OMIM:604759
51817509	4833420G17Rik	67392	MGI:1914642	C5orf34	375444	HGNC:24738	
51815206	4833439L19Rik	97820	MGI:1921162	KIAA1191	57179	HGNC:29209	OMIM:621573
51821866	4921504E06Rik	70909	MGI:1918087	C10orf67	256815	HGNC:28716	
51823041	4921517D22Rik	70900	MGI:1918150	C9orf153	389766	HGNC:31456	
51821595	4921524J17Rik	66714	MGI:1913964	C16orf87	388272	HGNC:33754	
51823026	4921536K21Rik	67430	MGI:1914680	C5orf52	100190949	HGNC:35121	
51822969	4921539E11Rik	70941	MGI:1918191	C1orf141	400757	HGNC:32044	
51822993	4930407I10Rik	328573	MGI:2685593	C22orf46P	79640	HGNC:26294	
51823000	4930433I11Rik	243944	MGI:2685327	C2orf78	388960	HGNC:34349	
51823038	4930444P10Rik	75799	MGI:1923049	C8orf89	100130301	HGNC:51258	
51822941	4930447C04Rik	75801	MGI:1923051	C14orf39	317761	HGNC:19849	OMIM:617307
51822028	4930453N24Rik	67609	MGI:1914859	C3orf38	285237	HGNC:28384	
51823027	4930469K13Rik	76874	MGI:1924124	C5orf58	133874	HGNC:37272	
51827394	4930481B07Rik	108168883	MGI:1922187	ZNF687-AS1	100507670	HGNC:54048	
51821781	4930503L19Rik	269033	MGI:1922045	C18orf54	162681	HGNC:13796	OMIM:613258
51822971	4930522H14Rik	67646	MGI:1914896	C1orf185	284546	HGNC:28096	OMIM:621135
51824294	4930523C07Rik	67647	MGI:1914897	KIAA0040	9674	HGNC:28950	OMIM:616696
51823025	4930524B15Rik	67592	MGI:1914842	C5orf47	133491	HGNC:27026	OMIM:620002
51822952	4930544D05Rik	668433	MGI:2148639	C17orf107	100130311	HGNC:37238	
51821906	4930550C14Rik	75311	MGI:1922561	C11orf65	160140	HGNC:28519	
51822967	4930558K02Rik	75368	MGI:1922618	C1orf105	92346	HGNC:29591	
51822950	4930562C15Rik	78809	MGI:1926059	C16orf96	342346	HGNC:40031	
51822951	4930563E22Rik	75304	MGI:1922554	C17orf100	388327	HGNC:34494	
51812316	4930578I06Rik	67750	MGI:1915000	C8orf74	203076	HGNC:32296	
51823017	4930579F01Rik	67741	MGI:1914991	C4orf17	84103	HGNC:25274	
51823019	4930579G24Rik	75939	MGI:1923189	C4orf46	201725	HGNC:27320	OMIM:616210
51823008	4930590J08Rik	381798	MGI:2685917	FAM194C	84077	HGNC:25320	OMIM:619992
51822942	4931414P19Rik	74359	MGI:1921609	C14orf93	60686	HGNC:20162	
51822945	4933402J07Rik	330820	MGI:3607717	C16orf78	123970	HGNC:28479	
51822924	4933402N03Rik	233918	MGI:1914681	C10orf120	399814	HGNC:25707	
51822946	4933405L10Rik	71046	MGI:1918296	C16orf86	388284	HGNC:33755	
51822926	4933411K16Rik	66765	MGI:1914015	C10orf62	414157	HGNC:23294	
51823432	4933412E24Rik	71088	MGI:1918338	CXorf49	100130361	HGNC:30891	
51823432	4933412E24Rik	71088	MGI:1918338	CXorf49B	100132994	HGNC:34229	
51823006	4933424G06Rik	71166	MGI:1918416	C2orf92	728537	HGNC:49272	
51813824	4933427D14Rik	74477	MGI:1921727	KIAA0753	9851	HGNC:29110	OMIM:617112
51823043	4933430I17Rik	214106	MGI:3045314	C9orf43	257169	HGNC:23570	
51816585	5031439G07Rik	223739	MGI:2444899	KIAA0930	23313	HGNC:1314	OMIM:619709
51822844	5033430I15Rik	76000	MGI:1923250	ATXN1-AS1	101928433	HGNC:40515	
51826764	5430416N02Rik	100503199	MGI:1918676	THAP9-AS1	100499177	HGNC:44172	
51822972	5730409E04Rik	230757	MGI:3609248	C1orf216	127703	HGNC:26800	
51818978	5730455P16Rik	70591	MGI:1917841	C17orf75	64149	HGNC:30173	
51827392	5730507C01Rik	236366	MGI:1917882	ZNF670	93474	HGNC:28167	
51821499	6030458C11Rik	77877	MGI:1925127	C5orf22	55322	HGNC:25639	
51822957	6030468B19Rik	77727	MGI:1924977	C17orf99	100141515	HGNC:34490	OMIM:621418
51818974	6430548M08Rik	234797	MGI:2443793	KIAA0513	9764	HGNC:29058	OMIM:611675
51822988	6430550D23Rik	320095	MGI:2443361	C20orf173	140873	HGNC:16166	
51822523	6430571L13Rik	235599	MGI:2445137	C3orf18	51161	HGNC:24837	
51821598	6820408C15Rik	228778	MGI:3045333	C20orf96	140680	HGNC:16227	
51823433	8030474K03Rik	382231	MGI:2685988	CXorf49	100130361	HGNC:30891	
51823433	8030474K03Rik	382231	MGI:2685988	CXorf49B	100132994	HGNC:34229	
51824550	9030622O22Rik	100043820	MGI:1918820	LINC00261	140828	HGNC:16189	OMIM:618518
51823030	9130008F23Rik	71583	MGI:1918833	C6orf141	135398	HGNC:21351	
51821626	9130401M01Rik	75758	MGI:1923008	C8orf76	84933	HGNC:25924	
51821626	9130401M01Rik	75758	MGI:1923008	ZHX1-C8orf76	100533106	HGNC:42975	
51824554	9330117O12Rik	328957	MGI:5439411	LINC01170	103724389	HGNC:49542	
51824296	9330159F19Rik	212448	MGI:3036239	KIAA0408	9729	HGNC:21636	OMIM:619236
51813298	9430015G10Rik	230996	MGI:2444364	C1orf159	54991	HGNC:26062	
51822925	9430038I01Rik	77252	MGI:1924502	C10orf143	387723	HGNC:48677	
51822693	9530026P05Rik	330385	MGI:1924659	ADAMTS9-AS2	100507098	HGNC:42435	
51822347	9530068E07Rik	213673	MGI:2654705	C5orf15	56951	HGNC:20656	
51823036	9930012K11Rik	268759	MGI:2145726	C8orf58	541565	HGNC:32233	
51807241	a	50518	MGI:87853	ASIP	434	HGNC:745	OMIM:600201
51826272	A030003K21Rik	77913	MGI:1925163	SCYGR1	112441428	HGNC:34218	
51826272	A030003K21Rik	77913	MGI:1925163	SCYGR2	112441435	HGNC:34220	
51826272	A030003K21Rik	77913	MGI:1925163	SCYGR3	112441429	HGNC:34222	
51826272	A030003K21Rik	77913	MGI:1925163	SCYGR4	112441430	HGNC:34223	
51826272	A030003K21Rik	77913	MGI:1925163	SCYGR6	112441431	HGNC:34225	
51826272	A030003K21Rik	77913	MGI:1925163	SCYGR7	112441438	HGNC:34226	
51826272	A030003K21Rik	77913	MGI:1925163	SCYGR8	112441432	HGNC:34227	
51826272	A030003K21Rik	77913	MGI:1925163	SCYGR9	117134595	HGNC:34219	
51826271	A030005K14Rik	77921	MGI:1925171	SCYGR1	112441428	HGNC:34218	
51826271	A030005K14Rik	77921	MGI:1925171	SCYGR2	112441435	HGNC:34220	
51826271	A030005K14Rik	77921	MGI:1925171	SCYGR3	112441429	HGNC:34222	
51826271	A030005K14Rik	77921	MGI:1925171	SCYGR4	112441430	HGNC:34223	
51826271	A030005K14Rik	77921	MGI:1925171	SCYGR6	112441431	HGNC:34225	
51826271	A030005K14Rik	77921	MGI:1925171	SCYGR7	112441438	HGNC:34226	
51826271	A030005K14Rik	77921	MGI:1925171	SCYGR8	112441432	HGNC:34227	
51826271	A030005K14Rik	77921	MGI:1925171	SCYGR9	117134595	HGNC:34219	
51826273	A030005L19Rik	77922	MGI:1925172	SCYGR1	112441428	HGNC:34218	
51826273	A030005L19Rik	77922	MGI:1925172	SCYGR2	112441435	HGNC:34220	
51826273	A030005L19Rik	77922	MGI:1925172	SCYGR3	112441429	HGNC:34222	
51826273	A030005L19Rik	77922	MGI:1925172	SCYGR4	112441430	HGNC:34223	
51826273	A030005L19Rik	77922	MGI:1925172	SCYGR6	112441431	HGNC:34225	
51826273	A030005L19Rik	77922	MGI:1925172	SCYGR7	112441438	HGNC:34226	
51826273	A030005L19Rik	77922	MGI:1925172	SCYGR8	112441432	HGNC:34227	
51826273	A030005L19Rik	77922	MGI:1925172	SCYGR9	117134595	HGNC:34219	
51826274	A030014E15Rik	77917	MGI:1925167	SCYGR1	112441428	HGNC:34218	
51826274	A030014E15Rik	77917	MGI:1925167	SCYGR2	112441435	HGNC:34220	
51826274	A030014E15Rik	77917	MGI:1925167	SCYGR3	112441429	HGNC:34222	
51826274	A030014E15Rik	77917	MGI:1925167	SCYGR4	112441430	HGNC:34223	
51826274	A030014E15Rik	77917	MGI:1925167	SCYGR6	112441431	HGNC:34225	
51826274	A030014E15Rik	77917	MGI:1925167	SCYGR7	112441438	HGNC:34226	
51826274	A030014E15Rik	77917	MGI:1925167	SCYGR8	112441432	HGNC:34227	
51826274	A030014E15Rik	77917	MGI:1925167	SCYGR9	117134595	HGNC:34219	
51821669	A130010J15Rik	319266	MGI:2441776	C1orf74	148304	HGNC:26319	
51822630	A1bg	117586	MGI:2152878	A1BG	1	HGNC:5	OMIM:138670
51806859	A1cf	69865	MGI:1917115	A1CF	29974	HGNC:24086	OMIM:618199
51822631	A2m	232345	MGI:2449119	A2M	2	HGNC:7	OMIM:103950
51822632	A3galt2	215493	MGI:2685279	A3GALT2	127550	HGNC:30005	OMIM:619850
51820025	A430005L14Rik	97159	MGI:2140680	C1orf174	339448	HGNC:27915	
51822633	A4galt	239559	MGI:3512453	A4GALT	53947	HGNC:18149	OMIM:607922
51822634	A4gnt	333424	MGI:2143261	A4GNT	51146	HGNC:17968	OMIM:616709
51822940	A530016L24Rik	319942	MGI:2443020	C14orf180	400258	HGNC:33795	OMIM:619392
51821825	A830018L16Rik	320492	MGI:2444149	C8orf34	116328	HGNC:30905	
51822930	A930018P22Rik	68243	MGI:1915493	C11orf91	100131378	HGNC:34444	
51821810	AA986860	212439	MGI:2138143	C1orf116	79098	HGNC:28667	OMIM:611680
51820976	Aaas	223921	MGI:2443767	AAAS	8086	HGNC:13666	OMIM:605378
51820453	Aacs	78894	MGI:1926144	AACS	65985	HGNC:21298	OMIM:614364
51821307	Aadac	67758	MGI:1915008	AADAC	13	HGNC:17	OMIM:600338
51822635	Aadacl2	639634	MGI:3646333	AADACL2	344752	HGNC:24427	
51822008	Aadacl3	230883	MGI:2685281	AADACL3	126767	HGNC:32037	
51822010	Aadacl4	435815	MGI:3650257	AADACL4	343066	HGNC:32038	
51822012	Aadacl4fm1	381572	MGI:2685880	AADACL4	343066	HGNC:32038	
51822009	Aadacl4fm2	627085	MGI:3652194	AADACL4	343066	HGNC:32038	
51822006	AAdacl4fm3	546849	MGI:3650721	AADACL4	343066	HGNC:32038	
51822007	Aadacl4fm4	230890	MGI:2685282	AADACL4	343066	HGNC:32038	
51822011	Aadacl4fm5	329993	MGI:2685284	AADACL4	343066	HGNC:32038	
51822335	Aadat	23923	MGI:1345167	AADAT	51166	HGNC:17929	OMIM:611754
51818361	Aagab	66939	MGI:1914189	AAGAB	79719	HGNC:25662	OMIM:614888
51806814	Aak1	269774	MGI:1098687	AAK1	22848	HGNC:19679	OMIM:616405
51807553	Aamdc	66273	MGI:1913523	AAMDC	28971	HGNC:30205	OMIM:620474
51820982	Aamp	227290	MGI:107809	AAMP	14	HGNC:18	OMIM:603488
51806815	Aanat	11298	MGI:1328365	AANAT	15	HGNC:19	OMIM:600950
51813581	Aar2	68295	MGI:1915545	AAR2	25980	HGNC:15886	OMIM:617365
51807093	Aard	239435	MGI:2181621	AARD	441376	HGNC:33842	OMIM:621042
51806816	Aars1	234734	MGI:2384560	AARS1	16	HGNC:20	OMIM:601065
51813340	Aars2	224805	MGI:2681839	AARS2	57505	HGNC:21022	OMIM:612035
51813562	Aarsd1	69684	MGI:1916934	AARSD1	80755	HGNC:28417	OMIM:613212
51813562	Aarsd1	69684	MGI:1916934	PTGES3L-AARSD1	100885850	HGNC:43946	
51817507	Aasdh	231326	MGI:2442517	AASDH	132949	HGNC:23993	OMIM:614365
51819662	Aasdhppt	67618	MGI:1914868	AASDHPPT	60496	HGNC:14235	OMIM:607756
51821805	Aass	30956	MGI:1353573	AASS	10157	HGNC:17366	OMIM:605113
51807821	Aatf	56321	MGI:1929608	AATF	26574	HGNC:19235	OMIM:608463
51822186	Aatk	11302	MGI:1197518	AATK	9625	HGNC:21	OMIM:605276
51822961	AB124611	382062	MGI:3043001	C19orf38	255809	HGNC:34073	
51808306	Abat	268860	MGI:2443582	ABAT	18	HGNC:23	OMIM:137150
51806819	Abca1	11303	MGI:99607	ABCA1	19	HGNC:29	OMIM:600046
51808016	Abca12	74591	MGI:2676312	ABCA12	26154	HGNC:14637	OMIM:607800
51822636	Abca13	268379	MGI:2388707	ABCA13	154664	HGNC:14638	OMIM:607807
51806821	Abca15	320631	MGI:2388709	ABCA15P	400508	HGNC:34405	
51806820	Abca17	381072	MGI:3625331	ABCA17P	650655	HGNC:32972	
51817178	Abca2	11305	MGI:99606	ABCA2	20	HGNC:32	OMIM:600047
51806822	Abca3	27410	MGI:1351617	ABCA3	21	HGNC:33	OMIM:601615
51815892	Abca4	11304	MGI:109424	ABCA4	24	HGNC:34	OMIM:601691
51820158	Abca5	217265	MGI:2386607	ABCA5	23461	HGNC:35	OMIM:612503
51822637	Abca6	76184	MGI:1923434	ABCA6	23460	HGNC:36	OMIM:612504
51820276	Abca7	27403	MGI:1351646	ABCA7	10347	HGNC:37	OMIM:605414
51822639	Abca8a	217258	MGI:2386846	ABCA8	10351	HGNC:38	OMIM:612505
51822638	Abca8b	27404	MGI:1351668	ABCA8	10351	HGNC:38	OMIM:612505
51822640	Abca9	217262	MGI:2386796	ABCA9	10350	HGNC:39	OMIM:612507
51816791	Abcb10	56199	MGI:1860508	ABCB10	23456	HGNC:41	OMIM:605454
51807517	Abcb11	27413	MGI:1351619	ABCB11	8647	HGNC:42	OMIM:603201
51806825	Abcb1a	18671	MGI:97570	ABCB1	5243	HGNC:40	OMIM:171050
51806826	Abcb1b	18669	MGI:97568	ABCB1	5243	HGNC:40	OMIM:171050
51806824	Abcb4	18670	MGI:97569	ABCB4	5244	HGNC:45	OMIM:171060
51806823	Abcb5	77706	MGI:1924956	ABCB5	340273	HGNC:46	OMIM:611785
51806829	Abcb6	74104	MGI:1921354	ABCB6	10058	HGNC:47	OMIM:605452
51811013	Abcb7	11306	MGI:109533	ABCB7	22	HGNC:48	OMIM:300135
51819598	Abcb8	74610	MGI:1351667	ABCB8	11194	HGNC:49	OMIM:605464
51817025	Abcb9	56325	MGI:1861729	ABCB9	23457	HGNC:50	OMIM:605453
51814220	Abcc1	17250	MGI:102676	ABCC1	4363	HGNC:51	OMIM:158343
51816417	Abcc10	224814	MGI:2386976	ABCC10	89845	HGNC:52	OMIM:612509
51814223	Abcc12	244562	MGI:2441679	ABCC12	94160	HGNC:14640	OMIM:607041
51814221	Abcc2	12780	MGI:1352447	ABCC2	1244	HGNC:53	OMIM:601107
51815835	Abcc3	76408	MGI:1923658	ABCC3	8714	HGNC:54	OMIM:604323
51807771	Abcc4	239273	MGI:2443111	ABCC4	10257	HGNC:55	OMIM:605250
51811872	Abcc5	27416	MGI:1351644	ABCC5	10057	HGNC:56	OMIM:605251
51806830	Abcc6	27421	MGI:1351634	ABCC6	368	HGNC:57	OMIM:603234
51816586	Abcc8	20927	MGI:1352629	ABCC8	6833	HGNC:59	OMIM:600509
51816857	Abcc9	20928	MGI:1352630	ABCC9	10060	HGNC:60	OMIM:601439
51820257	Abcd1	11666	MGI:1349215	ABCD1	215	HGNC:61	OMIM:300371
51822641	Abcd2	26874	MGI:1349467	ABCD2	225	HGNC:66	OMIM:601081
51810641	Abcd3	19299	MGI:1349216	ABCD3	5825	HGNC:67	OMIM:170995
51819897	Abcd4	19300	MGI:1349217	ABCD4	5826	HGNC:68	OMIM:603214
51818505	Abce1	24015	MGI:1195458	ABCE1	6059	HGNC:69	OMIM:601213
51818628	Abcf1	224742	MGI:1351658	ABCF1	23	HGNC:70	OMIM:603429
51806832	Abcf2	27407	MGI:1351657	ABCF2	10061	HGNC:71	OMIM:612510
51806832	Abcf2	27407	MGI:1351657	ABCF2-H2BK1	114483834	HGNC:54751	
51813079	Abcf3	27406	MGI:1351656	ABCF3	55324	HGNC:72	OMIM:618967
51820094	Abcg1	11307	MGI:107704	ABCG1	9619	HGNC:73	OMIM:603076
51811420	Abcg2	26357	MGI:1347061	ABCG2	9429	HGNC:74	OMIM:603756
51811421	Abcg3	27405	MGI:1351624	ABCG2	9429	HGNC:74	OMIM:603756
51806833	Abcg4	192663	MGI:1890594	ABCG4	64137	HGNC:13884	OMIM:607784
51817792	Abcg5	27409	MGI:1351659	ABCG5	64240	HGNC:13886	OMIM:605459
51817793	Abcg8	67470	MGI:1914720	ABCG8	64241	HGNC:13887	OMIM:605460
51822642	Abhd1	57742	MGI:1931013	ABHD1	84696	HGNC:17553	OMIM:612195
51806834	Abhd10	213012	MGI:2442422	ABHD10	55347	HGNC:25656	OMIM:618756
51818285	Abhd11	68758	MGI:1916008	ABHD11	83451	HGNC:16407	OMIM:621050
51819876	Abhd12	76192	MGI:1923442	ABHD12	26090	HGNC:15868	OMIM:613599
51819810	Abhd12b	100504285	MGI:2685650	ABHD12B	145447	HGNC:19837	
51819701	Abhd13	68904	MGI:1916154	ABHD13	84945	HGNC:20293	OMIM:621039
51820987	Abhd14a	68644	MGI:1915894	ABHD14A	25864	HGNC:24538	OMIM:618771
51820648	Abhd14b	76491	MGI:1923741	ABHD14B	84836	HGNC:28235	OMIM:621040
51817059	Abhd15	67477	MGI:1914727	ABHD15	116236	HGNC:26971	OMIM:619894
51807377	Abhd16a	193742	MGI:99476	ABHD16A	7920	HGNC:13921	OMIM:142620
51807376	Abhd16b	241850	MGI:3607711	ABHD16B	140701	HGNC:16128	OMIM:620190
51806835	Abhd17a	216169	MGI:106388	ABHD17A	81926	HGNC:28756	OMIM:617942
51810230	Abhd17b	226016	MGI:1917816	ABHD17B	51104	HGNC:24278	OMIM:617943
51810231	Abhd17c	70178	MGI:1917428	ABHD17C	58489	HGNC:26925	OMIM:617944
51819472	Abhd18	269423	MGI:1915468	ABHD18	80167	HGNC:26111	
51806836	Abhd2	54608	MGI:1914344	ABHD2	11057	HGNC:18717	OMIM:612196
51821236	Abhd3	106861	MGI:2147183	ABHD3	171586	HGNC:18718	OMIM:612197
51819405	Abhd4	105501	MGI:1915938	ABHD4	63874	HGNC:20154	OMIM:619728
51822643	Abhd5	67469	MGI:1914719	ABHD5	51099	HGNC:21396	OMIM:604780
51820140	Abhd6	66082	MGI:1913332	ABHD6	57406	HGNC:21398	OMIM:616966
51806838	Abhd8	64296	MGI:1918946	ABHD8	79575	HGNC:23759	OMIM:621036
51806839	Abi1	11308	MGI:104913	ABI1	10006	HGNC:11320	OMIM:603050
51819728	Abi2	329165	MGI:106913	ABI2	10152	HGNC:24011	OMIM:606442
51815595	Abi3	66610	MGI:1913860	ABI3	51225	HGNC:29859	OMIM:606363
51806840	Abi3bp	320712	MGI:2444583	ABI3BP	25890	HGNC:17265	OMIM:606279
51810282	Abitram	230234	MGI:2677850	ABITRAM	54942	HGNC:1364	OMIM:620392
51822187	Abl1	11350	MGI:87859	ABL1	25	HGNC:76	OMIM:189980
51807952	Abl2	11352	MGI:87860	ABL2	27	HGNC:77	OMIM:164690
51817589	Ablim1	226251	MGI:1194500	ABLIM1	3983	HGNC:78	OMIM:602330
51822141	Ablim2	231148	MGI:2385758	ABLIM2	84448	HGNC:19195	OMIM:612544
51810592	Ablim3	319713	MGI:2442582	ABLIM3	22885	HGNC:29132	OMIM:611305
51822644	Abo	80908	MGI:2135738	ABO	28	HGNC:79	OMIM:110300
51813114	Abr	109934	MGI:107771	ABR	29	HGNC:81	OMIM:600365
51806845	Abra	223513	MGI:2444891	ABRA	137735	HGNC:30655	OMIM:609747
51807615	Abracl	73112	MGI:1920362	ABRACL	58527	HGNC:21230	OMIM:621425
51806846	Abraxas1	70681	MGI:1917931	ABRAXAS1	84142	HGNC:25829	OMIM:611143
51806847	Abraxas2	109359	MGI:1926116	ABRAXAS2	23172	HGNC:28975	OMIM:611144
51813307	Abt1	30946	MGI:1353636	ABT1	29777	HGNC:17369	OMIM:618750
51816555	Abtb1	80283	MGI:1933148	ABTB1	80325	HGNC:18275	OMIM:608308
51822155	Abtb2	99382	MGI:2139365	ABTB2	25841	HGNC:23842	OMIM:621014
51815778	Abtb3	74007	MGI:1921257	ABTB3	121551	HGNC:23844	OMIM:621028
51821160	Acaa1a	113868	MGI:2148491	ACAA1	30	HGNC:82	OMIM:604054
51821161	Acaa1b	235674	MGI:3605455	ACAA1	30	HGNC:82	OMIM:604054
51810634	Acaa2	52538	MGI:1098623	ACAA2	10449	HGNC:83	OMIM:604770
51806852	Acaca	107476	MGI:108451	ACACA	31	HGNC:84	OMIM:200350
51816220	Acacb	100705	MGI:2140940	ACACB	32	HGNC:85	OMIM:601557
51822646	Acad10	71985	MGI:1919235	ACAD10	80724	HGNC:21597	OMIM:611181
51820418	Acad11	102632	MGI:2143169	ACAD11	84129	HGNC:30211	OMIM:614288
